328 400
164 264 41
165 34 17
165 99 37
165 265 41
166 34 17
166 98 36
166 265 40
167 34 17
167 98 36
167 265 39
168 34 17
168 98 35
168 266 39
169 34 17
169 97 34
169 266 38
170 34 17
170 97 34
170 266 37
171 34 17
171 97 33
171 267 37
172 34 17
172 96 32
172 267 36
173 34 17
173 96 32
173 267 35
174 34 17
174 96 32
174 267 34
175 34 17
175 96 31
175 268 34
176 34 17
176 96 31
176 268 33
177 34 17
177 95 30
177 268 32
178 34 17
178 96 30
178 268 31
179 34 17
179 92 26
179 93 27
179 94 28
179 95 29
179 268 30
180 33 16
180 91 25
180 95 29
180 268 29
181 33 16
181 90 24
181 96 29
181 268 28
182 33 16
182 89 23
182 96 28
182 268 27
183 33 16
183 89 22
183 96 27
183 268 26
184 33 16
184 89 22
184 96 26
184 268 25
185 33 16
185 88 21
185 97 26
185 269 25
186 33 16
186 88 21
186 97 25
186 269 24
187 33 16
187 87 20
187 97 24
187 269 23
188 33 16
188 86 19
188 98 24
188 270 23
189 33 16
189 86 19
189 98 23
189 270 22
190 33 16
190 85 18
190 98 22
190 270 21
191 33 16
191 85 18
191 98 21
191 270 21
192 33 16
192 84 18
192 99 21
192 270 21
193 33 16
193 83 17
193 99 20
193 270 21
194 33 16
194 83 17
194 99 19
194 270 21
195 33 16
195 82 17
195 100 19
195 270 21
196 33 16
196 81 16
196 100 18
196 270 21
197 33 16
197 81 16
197 100 17
197 269 20
198 33 16
198 80 16
198 101 17
198 269 20
199 33 16
199 79 15
199 101 16
199 269 20
200 33 16
200 79 15
200 101 15
200 269 20
201 33 16
201 78 15
201 102 15
201 269 20
202 33 16
202 77 15
202 102 14
202 269 20
203 33 16
203 76 14
203 102 13
203 269 20
204 33 16
204 76 14
204 103 13
204 268 19
205 33 16
205 75 14
205 103 12
205 268 19
206 33 16
206 74 14
206 103 12
206 268 19
207 33 16
207 73 14
207 103 12
207 268 19
208 33 16
208 72 14
208 103 12
208 268 19
209 33 16
209 71 14
209 102 12
209 268 19
210 33 16
210 70 13
210 102 12
210 268 18
211 32 15
211 70 13
211 102 12
211 268 18
212 32 15
212 69 13
212 102 12
212 268 18
213 32 15
213 68 13
213 101 12
213 268 18
214 32 15
214 67 13
214 101 12
214 267 18
215 32 15
215 66 13
215 101 12
215 267 18
216 32 15
216 65 13
216 101 12
216 267 18
217 32 15
217 65 13
217 100 12
217 266 17
218 31 14
218 64 13
218 100 12
218 266 17
219 31 14
219 63 13
219 100 12
219 266 17
220 32 14
220 62 13
220 100 12
220 266 17
221 32 14
221 62 13
221 100 12
221 266 17
222 32 14
222 61 12
222 100 12
222 266 17
223 24 6
223 25 7
223 26 8
223 27 9
223 28 10
223 29 11
223 30 12
223 31 13
223 61 12
223 99 11
223 265 16
224 23 5
224 31 13
224 61 12
224 99 11
224 265 16
225 22 4
225 32 13
225 60 11
225 100 11
225 265 16
226 22 4
226 32 12
226 60 11
226 100 11
226 265 16
227 21 3
227 32 11
227 60 11
227 100 11
227 265 16
228 21 3
228 33 11
228 59 10
228 100 10
228 265 16
229 20 2
229 33 10
229 59 10
229 100 10
229 265 16
230 21 2
230 33 10
230 59 10
230 100 9
230 265 16
231 21 2
231 33 10
231 34 9
231 58 9
231 100 9
231 265 16
232 21 2
232 32 9
232 35 7
232 58 9
232 101 9
232 265 16
233 21 2
233 32 9
233 36 7
233 58 9
233 101 9
233 264 15
234 21 1
234 28 5
234 29 6
234 30 7
234 31 8
234 36 6
234 58 9
234 101 8
234 264 15
235 27 4
235 31 8
235 36 5
235 57 8
235 101 8
235 263 14
235 264 15
236 26 3
236 31 7
236 37 5
236 57 9
236 101 7
236 262 13
236 264 15
237 26 3
237 31 6
237 37 4
237 56 8
237 101 7
237 261 13
237 265 15
238 25 2
238 31 5
238 38 4
238 56 8
238 102 7
238 260 12
238 265 14
239 25 2
239 31 4
239 38 3
239 56 8
239 102 7
239 260 12
239 266 14
240 25 2
240 31 4
240 38 3
240 56 8
240 102 6
240 259 11
240 266 13
241 25 2
241 31 4
241 38 3
241 55 7
241 102 6
241 259 11
241 266 12
242 25 2
242 31 4
242 37 2
242 55 7
242 102 6
242 258 10
242 267 12
243 24 1
243 31 4
243 37 2
243 55 7
243 103 6
243 258 10
243 267 11
244 24 1
244 31 4
244 37 2
244 55 7
244 103 6
244 257 9
244 267 10
245 32 3
245 33 2
245 34 1
245 37 2
245 55 7
245 103 6
245 257 9
245 268 10
246 31 3
246 35 1
246 36 2
246 54 6
246 103 6
246 256 8
246 268 9
247 31 3
247 54 6
247 103 6
247 256 8
247 269 9
248 31 3
248 54 6
248 103 5
248 255 7
248 269 8
249 31 3
249 54 6
249 103 5
249 255 7
249 269 7
250 54 6
250 103 5
250 254 7
250 269 7
251 54 6
251 103 5
251 254 7
251 269 7
252 54 6
252 103 5
252 253 6
252 269 7
253 54 6
253 103 5
253 253 6
253 269 7
254 53 5
254 103 5
254 253 6
254 269 7
255 53 5
255 104 5
255 253 6
255 269 7
256 53 5
256 104 5
256 253 6
256 268 6
257 53 5
257 104 5
257 253 6
257 269 6
258 53 5
258 104 5
258 253 6
258 269 6
259 53 5
259 104 5
259 252 5
259 268 5
260 53 5
260 104 5
260 252 5
260 268 5
261 53 5
261 104 5
261 252 5
261 268 5
262 53 5
262 105 6
262 252 6
262 268 5
263 53 5
263 105 5
263 251 5
263 268 5
264 53 5
264 105 5
264 251 5
264 268 5
265 53 5
265 106 6
265 251 5
265 268 5
266 53 5
266 106 6
266 251 5
266 268 5
267 53 5
267 106 6
267 251 5
267 268 5
268 53 5
268 106 6
268 251 5
268 268 5
269 52 5
269 106 6
269 251 5
269 268 5
270 52 5
270 107 6
270 251 5
270 268 5
271 52 5
271 107 6
271 251 6
271 268 5
272 52 5
272 107 6
272 251 6
272 268 5
273 52 6
273 108 7
273 251 6
273 268 5
274 52 6
274 108 7
274 251 6
274 267 4
275 52 6
275 108 7
275 251 6
275 268 4
276 52 6
276 109 7
276 251 6
276 268 4
277 52 6
277 109 7
277 251 6
277 268 4
278 51 6
278 109 7
278 251 6
278 268 4
279 51 6
279 109 7
279 251 6
279 268 4
280 51 6
280 109 7
280 251 6
280 268 4
281 51 7
281 110 7
281 250 6
281 268 4
282 51 7
282 110 7
282 250 6
282 268 4
283 51 7
283 111 8
283 250 6
283 268 4
284 51 7
284 111 7
284 250 6
284 268 4
285 51 7
285 112 7
285 250 6
285 268 4
286 51 8
286 113 7
286 250 6
286 268 4
287 51 8
287 114 7
287 250 6
287 269 5
288 51 7
288 115 7
288 250 6
288 269 5
289 52 7
289 116 7
289 250 6
289 269 5
290 53 7
290 117 7
290 251 7
290 269 5
291 54 7
291 118 7
291 251 7
291 269 5
292 55 7
292 119 8
292 251 7
292 270 5
293 56 7
293 120 8
293 251 7
293 270 5
294 57 7
294 120 8
294 251 7
294 270 5
295 58 7
295 121 8
295 252 7
295 271 6
296 59 8
296 122 9
296 253 7
296 271 6
297 59 8
297 254 7
297 272 7
298 60 9
298 255 7
298 273 7
299 60 9
299 255 7
299 274 7
300 60 9
300 256 8
300 275 7
301 61 10
301 256 8
301 276 7
302 62 9
302 257 8
302 276 7
303 63 9
303 277 8
304 278 8
305 279 8
306 280 7
306 281 7
307 282 6
307 283 6
